ano,local,autor,titulo,link
2017,Minneapolis,Eryn O'Neil,Project Triage: What To Do When It All Hits The Fan,https://devopsdays.org/events/2017-minneapolis/program/eryn-oneil
2017,Minneapolis,Duretti Hirpa,How do you get an engineering team to eat their vegetables?,https://devopsdays.org/events/2017-minneapolis/program/duretti-hirpa
2017,Minneapolis,Pete Cheslock,17th Century Shipbuilding and Your Failed Software Project,https://devopsdays.org/events/2017-minneapolis/program/pete-cheslock
2017,Minneapolis,Heidi Waterhouse,Fear of the Bus,https://devopsdays.org/events/2017-minneapolis/program/heidi-waterhouse
2017,Minneapolis,Aneel Lakhani,A Field Guide to Observability,https://devopsdays.org/events/2017-minneapolis/program/aneel-lakhani
2017,Minneapolis,Jessie Frazelle,Security in a Containerized World (Closing Keynote),https://devopsdays.org/events/2017-minneapolis/program/jessie-frazelle
2017,Portland,Kris Buytaert,Looking back at 8 years of #devopsdays,https://devopsdays.org/events/2017-portland/program/kris-buytaert
2017,Portland,"Lucy Wyman, Zach Reichert",QAELK: Are Our Tests Any Good?,https://devopsdays.org/events/2017-portland/program/lucy-wyman-zach-reichert
2017,Portland,Geshan Manandhar,"Adopt a painless continuous delivery culture, add more business value",https://devopsdays.org/events/2017-portland/program/geshan-manandhar
2017,Portland,Amye Scavarda,The Lord of the Rings and Information Security in Your Open Source Project,https://devopsdays.org/events/2017-portland/program/amye-scavarda
2017,Portland,Holly Burton,Am I the Crazy One? Gaslighting and Gender in the Workplace,https://devopsdays.org/events/2017-portland/program/holly-burton
2017,Portland,Jan de Vries,Antifragility and DevOps: getting closer to Hydra and High Heels,https://devopsdays.org/events/2017-portland/program/jan-de-vries
2017,Portland,Jason Grimes,Archetype of an SRE Superhero; A DevOps Journey 🐼,https://devopsdays.org/events/2017-portland/program/jason-grimes
2017,Portland,Steve Desmond,Adventures in Enterprise: Lessons Learned Promoting DevOps in a Legacy Organization,https://devopsdays.org/events/2017-portland/program/steve-desmond
2017,Portland,Paige Bernier,Disposable Infrastructure: You Only Build Me Up To Tear Me Down,https://devopsdays.org/events/2017-portland/program/paige-bernier
